time_s,time_us,checksum_valid,cookie,frame_no,rssi_pkt,snr_pkt,rssi_signal,time_gregorian,log_timestamp,log_timestamp_gregorian
1633357443,325009,True,854,450,-51,12,-52,2021-10-04T17:24:03,1633357443.326683,2021-10-04T17:24:03
1633357443,924408,True,855,451,-51,12,-52,2021-10-04T17:24:03,1633357443.926413,2021-10-04T17:24:03
1633357444,504389,True,856,452,-52,12,-53,2021-10-04T17:24:04,1633357444.506033,2021-10-04T17:24:04
1633357445,94623,True,857,453,-52,12,-53,2021-10-04T17:24:05,1633357445.09658,2021-10-04T17:24:05
1633357445,674558,True,858,454,-52,14,-53,2021-10-04T17:24:05,1633357445.676266,2021-10-04T17:24:05
1633357448,354363,True,859,455,-52,11,-53,2021-10-04T17:24:08,1633357448.356161,2021-10-04T17:24:08
1633357448,954405,True,860,456,-51,12,-51,2021-10-04T17:24:08,1633357448.956089,2021-10-04T17:24:08
1633357449,534422,True,861,457,-51,13,-52,2021-10-04T17:24:09,1633357449.537823,2021-10-04T17:24:09
1633357450,114377,True,862,458,-51,12,-52,2021-10-04T17:24:10,1633357450.117831,2021-10-04T17:24:10
1633357450,714374,True,863,459,-51,12,-52,2021-10-04T17:24:10,1633357450.716026,2021-10-04T17:24:10
1633357451,324412,True,864,460,-51,12,-51,2021-10-04T17:24:11,1633357451.326143,2021-10-04T17:24:11
1633357451,924393,True,865,461,-51,13,-52,2021-10-04T17:24:11,1633357451.926214,2021-10-04T17:24:11
1633357454,554386,True,866,462,-50,12,-51,2021-10-04T17:24:14,1633357454.556339,2021-10-04T17:24:14
1633357455,145439,True,867,463,-51,14,-51,2021-10-04T17:24:15,1633357455.149633,2021-10-04T17:24:15
1633357455,734674,True,868,464,-54,13,-54,2021-10-04T17:24:15,1633357455.736442,2021-10-04T17:24:15
1633357456,334432,True,869,465,-54,11,-55,2021-10-04T17:24:16,1633357456.336627,2021-10-04T17:24:16
1633357456,934459,True,870,466,-50,13,-51,2021-10-04T17:24:16,1633357456.936146,2021-10-04T17:24:16
1633357457,534611,True,871,467,-52,13,-53,2021-10-04T17:24:17,1633357457.536628,2021-10-04T17:24:17
1633357458,114476,True,872,468,-52,12,-53,2021-10-04T17:24:18,1633357458.116519,2021-10-04T17:24:18
1633357461,364601,True,873,470,-50,13,-50,2021-10-04T17:24:21,1633357461.367332,2021-10-04T17:24:21
1633357461,944533,True,874,471,-50,13,-51,2021-10-04T17:24:21,1633357461.946263,2021-10-04T17:24:21
1633357462,534427,True,875,472,-50,14,-50,2021-10-04T17:24:22,1633357462.537637,2021-10-04T17:24:22
1633357463,114867,True,876,473,-50,13,-51,2021-10-04T17:24:23,1633357463.117063,2021-10-04T17:24:23
1633357463,714424,True,877,474,-51,12,-53,2021-10-04T17:24:23,1633357463.716073,2021-10-04T17:24:23
1633357464,314450,True,878,475,-52,12,-53,2021-10-04T17:24:24,1633357464.316065,2021-10-04T17:24:24
1633357466,964673,True,879,476,-50,12,-51,2021-10-04T17:24:26,1633357466.966303,2021-10-04T17:24:26
1633357467,544690,True,880,477,-49,12,-50,2021-10-04T17:24:27,1633357467.546677,2021-10-04T17:24:27
1633357468,124489,True,881,478,-51,12,-52,2021-10-04T17:24:28,1633357468.126569,2021-10-04T17:24:28
1633357468,744636,True,882,479,-54,12,-55,2021-10-04T17:24:28,1633357468.746587,2021-10-04T17:24:28
1633357469,324488,True,883,480,-56,11,-57,2021-10-04T17:24:29,1633357469.326497,2021-10-04T17:24:29
1633357469,924459,True,884,481,-55,12,-56,2021-10-04T17:24:29,1633357469.92615,2021-10-04T17:24:29
1633357470,504433,True,885,482,-55,12,-56,2021-10-04T17:24:30,1633357470.506068,2021-10-04T17:24:30
1633357473,775134,True,886,484,-52,12,-53,2021-10-04T17:24:33,1633357473.778805,2021-10-04T17:24:33
