time_s,time_us,time_steady,state,pump_on,pump_on_time_steady,pump_off,pump_off_time_steady,valve_open,valve_open_time_steady,valve_close,valve_close_time_steady,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315966266,66900,1465577,0,72,1430551,141,1430751,9,1360351,17,1430751,229,13,0,1980-01-06T03:24:26,1633358508.036721,2021-10-04T17:41:48
315966280,66900,1479577,0,72,1430551,141,1430751,9,1360351,17,1430751,138,13,0,1980-01-06T03:24:40,1633358521.296296,2021-10-04T17:42:01
315966294,67000,1493577,1,83,1493551,141,1430751,10,1481551,18,1491751,39,13,0,1980-01-06T03:24:54,1633358535.2158089,2021-10-04T17:42:15
315966307,66900,1506577,1,148,1506551,141,1430751,10,1481551,18,1491751,180,13,0,1980-01-06T03:25:07,1633358547.895717,2021-10-04T17:42:27
315966322,66900,1521577,1,223,1521551,141,1430751,10,1481551,18,1491751,87,13,0,1980-01-06T03:25:22,1633358563.946612,2021-10-04T17:42:43
315966335,66900,1534577,1,32,1534551,141,1430751,10,1481551,18,1491751,228,13,0,1980-01-06T03:25:35,1633358577.256217,2021-10-04T17:42:57
315966348,67000,1547577,1,97,1547551,141,1430751,10,1481551,18,1491751,113,13,0,1980-01-06T03:25:48,1633358590.5457878,2021-10-04T17:43:10
315966362,66900,1561577,0,118,1551751,142,1551951,10,1481551,19,1551951,9,13,0,1980-01-06T03:26:02,1633358603.6758199,2021-10-04T17:43:23
315966375,67000,1574577,0,118,1551751,142,1551951,10,1481551,19,1551951,151,13,0,1980-01-06T03:26:15,1633358616.906,2021-10-04T17:43:36
315966389,66900,1588577,0,118,1551751,142,1551951,10,1481551,19,1551951,47,13,0,1980-01-06T03:26:29,1633358629.5459769,2021-10-04T17:43:49
315966403,326100,1602577,3,119,1600551,142,1551951,11,1600551,19,1551951,199,13,0,1980-01-06T03:26:43,1633358643.345897,2021-10-04T17:44:03
315966417,326200,1616577,1,149,1616551,142,1551951,11,1600551,20,1610751,95,13,0,1980-01-06T03:26:57,1633358658.806736,2021-10-04T17:44:18
315966430,326100,1629577,1,214,1629551,142,1551951,11,1600551,20,1610751,237,13,0,1980-01-06T03:27:10,1633358672.095861,2021-10-04T17:44:32
315966443,326100,1642577,1,23,1642551,142,1551951,11,1600551,20,1610751,121,13,0,1980-01-06T03:27:23,1633358684.827225,2021-10-04T17:44:44
315966457,326100,1656577,1,93,1656551,142,1551951,11,1600551,20,1610751,18,13,0,1980-01-06T03:27:37,1633358698.126101,2021-10-04T17:44:58
315966470,326100,1669577,1,158,1669551,142,1551951,11,1600551,20,1610751,159,13,0,1980-01-06T03:27:50,1633358711.376353,2021-10-04T17:45:11
315966483,326200,1682577,0,164,1670751,143,1670951,11,1600551,21,1670951,44,13,0,1980-01-06T03:28:03,1633358724.655901,2021-10-04T17:45:24
315966497,326100,1696577,0,164,1670751,143,1670951,11,1600551,21,1670951,196,13,0,1980-01-06T03:28:17,1633358737.9358249,2021-10-04T17:45:37
315966511,506600,1710577,0,164,1670751,143,1670951,11,1600551,21,1670951,93,13,0,1980-01-06T03:28:31,1633358751.166565,2021-10-04T17:45:51
315966525,506700,1724577,3,165,1720551,143,1670951,12,1720551,21,1670951,245,13,0,1980-01-06T03:28:45,1633358766.6766238,2021-10-04T17:46:06
315966540,506700,1739577,1,210,1739551,143,1670951,12,1720551,22,1730751,152,13,0,1980-01-06T03:29:00,1633358781.805137,2021-10-04T17:46:21
315966554,506600,1753577,1,24,1753551,143,1670951,12,1720551,22,1730751,48,13,0,1980-01-06T03:29:14,1633358795.1144688,2021-10-04T17:46:35
315966566,506600,1765577,1,84,1765551,143,1670951,12,1720551,22,1730751,178,13,0,1980-01-06T03:29:26,1633358808.413837,2021-10-04T17:46:48
315966581,506600,1780577,1,159,1780551,143,1670951,12,1720551,22,1730751,85,13,0,1980-01-06T03:29:41,1633358821.672741,2021-10-04T17:47:01
315966594,506700,1793577,0,210,1790751,144,1790951,12,1720551,23,1790951,227,13,0,1980-01-06T03:29:54,1633358834.952004,2021-10-04T17:47:14
315966608,506600,1807577,0,210,1790751,144,1790951,12,1720551,23,1790951,122,13,0,1980-01-06T03:30:08,1633358848.221484,2021-10-04T17:47:28
315966622,506600,1821577,0,210,1790751,144,1790951,12,1720551,23,1790951,19,13,0,1980-01-06T03:30:22,1633358863.7314599,2021-10-04T17:47:43
315966635,506600,1834577,0,210,1790751,144,1790951,12,1720551,23,1790951,160,13,0,1980-01-06T03:30:35,1633358877.109717,2021-10-04T17:47:57
315966648,506700,1847577,0,210,1790751,144,1790951,12,1720551,23,1790951,45,13,0,1980-01-06T03:30:48,1633358890.3895168,2021-10-04T17:48:10
315966662,506600,1861577,1,216,1861551,144,1790951,13,1850551,24,1860751,197,13,0,1980-01-06T03:31:02,1633358903.738716,2021-10-04T17:48:23
315966676,506600,1875577,1,30,1875551,144,1790951,13,1850551,24,1860751,94,13,0,1980-01-06T03:31:16,1633358917.0579438,2021-10-04T17:48:37
315966690,506700,1889577,1,100,1889551,144,1790951,13,1850551,24,1860751,246,13,0,1980-01-06T03:31:30,1633358930.3971848,2021-10-04T17:48:50
315966703,506600,1902577,1,165,1902551,144,1790951,13,1850551,24,1860751,131,13,0,1980-01-06T03:31:43,1633358943.676632,2021-10-04T17:49:03
315966717,506700,1916577,1,235,1916551,144,1790951,13,1850551,24,1860751,27,13,0,1980-01-06T03:31:57,1633358959.156241,2021-10-04T17:49:19
315966745,506600,1944577,0,0,1920751,145,1920951,13,1850551,25,1920951,76,13,0,1980-01-06T03:32:25,1633358987.704197,2021-10-04T17:49:47
315966760,506600,1959577,0,0,1920751,145,1920951,13,1850551,25,1920951,239,13,0,1980-01-06T03:32:40,1633359001.024361,2021-10-04T17:50:01
315966773,506600,1972577,0,0,1920751,145,1920951,13,1850551,25,1920951,123,13,0,1980-01-06T03:32:53,1633359014.4036329,2021-10-04T17:50:14
315966787,506600,1986577,1,11,1986551,145,1920951,14,1974551,26,1984751,20,13,0,1980-01-06T03:33:07,1633359027.802749,2021-10-04T17:50:27
315966801,637400,2000577,1,81,2000551,145,1920951,14,1974551,26,1984751,172,13,0,1980-01-06T03:33:21,1633359041.101961,2021-10-04T17:50:41
315966814,637500,2013577,1,146,2013551,145,1920951,14,1974551,26,1984751,58,13,0,1980-01-06T03:33:34,1633359056.491876,2021-10-04T17:50:56
315966827,637500,2026577,1,211,2026551,145,1920951,14,1974551,26,1984751,198,13,0,1980-01-06T03:33:47,1633359069.801117,2021-10-04T17:51:09
315966841,637500,2040577,1,25,2040551,145,1920951,14,1974551,26,1984751,95,13,0,1980-01-06T03:34:01,1633359082.500864,2021-10-04T17:51:22
315966855,637600,2054577,0,46,2044751,146,2044951,14,1974551,27,2044951,247,13,0,1980-01-06T03:34:15,1633359096.40048,2021-10-04T17:51:36
315966868,637500,2067577,0,46,2044751,146,2044951,14,1974551,27,2044951,132,13,0,1980-01-06T03:34:28,1633359111.589344,2021-10-04T17:51:51
315966884,637500,2083577,0,46,2044751,146,2044951,14,1974551,27,2044951,50,13,0,1980-01-06T03:34:44,1633359124.8100078,2021-10-04T17:52:04
315966897,637600,2096577,3,47,2092551,146,2044951,15,2092551,27,2044951,191,13,0,1980-01-06T03:34:57,1633359138.08832,2021-10-04T17:52:18
315966912,637600,2111577,1,92,2111551,146,2044951,15,2092551,28,2102751,98,13,0,1980-01-06T03:35:12,1633359155.4396079,2021-10-04T17:52:35
315966926,637500,2125577,1,162,2125551,146,2044951,15,2092551,28,2102751,250,13,0,1980-01-06T03:35:26,1633359168.7972279,2021-10-04T17:52:48
